Price,Road Tax,COE Left,Mileage,Transmission,Deregistration,OMV,COE Price,Curb Weight,No. Of Owners,Vehicle Type
70800,6.52795791762255,1339,85000,1,33672,25281,42801,1589,2,4
308888,7.77485576666552,1829,6790,1,118733,91485,32001,1985,1,5
64800,6.606650186198215,366,76552,1,36089,40283,65501,1425,2,4
110800,5.971261839790462,2555,43217,1,40474,19508,46689,970,1,5
16800,6.6039438246004725,274,137000,1,9058,13674,61990,1295,1,2
120888,7.10002716662926,1527,133000,1,61499,48377,47002,1720,2,5
171888,6.373319789577012,3017,12000,1,76132,33282,57010,1380,1,4
175800,7.098375638590786,2340,20700,1,57992,42518,30012,1832,2,5
126800,6.52795791762255,1980,43400,1,54449,38362,37620,1415,2,5
117800,6.373319789577012,1885,59000,1,43222,31557,31101,1375,3,1
194800,7.775695749915245,1095,113600,1,96781,80056,54406,2180,1,5
74800,7.098375638590786,1522,98217,1,36071,17074,57390,1532,1,3
89800,6.606650186198215,1311,110000,1,43013,34702,54405,1430,3,7
189800,7.098375638590786,2066,64000,1,87704,66093,34000,1615,2,4
96800,6.525029657843462,2225,38000,1,30556,23271,32000,1190,1,5
70800,6.606650186198215,821,76000,1,36342,36424,60001,1425,2,4
138800,7.775695749915245,821,103000,1,101880,96961,61103,1935,2,4
197800,7.098375638590786,2560,41938,1,69220,44437,40690,1685,1,5
300000,7.776535028185241,2615,47000,1,119039,83021,39500,2135,2,5
120800,6.436150368369428,1826,35900,1,42229,23831,39728,1288,1,3
71800,6.606650186198215,1095,94000,1,31857,24971,57508,1395,2,1
253888,7.090076835776092,1647,48300,1,94647,76588,38801,1440,2,6
129800,7.069874128458572,1467,114000,1,47595,38070,32809,1841,3,5
115800,7.098375638590786,2438,55200,1,43234,21386,40009,1514,1,4
124888,7.091742115095153,1310,98000,1,68519,57731,53300,1615,1,4
137888,7.098375638590786,1700,89000,1,51870,41483,36000,1660,2,5
41800,6.606650186198215,461,158200,1,21693,29897,66010,1430,2,4
95800,6.525029657843462,2462,33445,1,33074,13891,33520,1085,1,2
188000,8.70549681988774,2773,63000,1,37961,118560,49716,1980,4,6
209555,7.767263996757308,1469,90000,1,96801,79112,34381,1850,2,4
146555,7.098375638590786,1828,93854,1,67022,47950,38602,1495,1,6
64800,7.098375638590786,614,103000,1,35485,38878,75000,1505,4,4
85800,6.6039438246004725,1860,51000,1,27914,18163,28000,1287,1,2
77800,7.401231264413015,829,86235,1,39620,37090,57501,1775,1,3
45300,6.525029657843462,1102,126000,1,23265,16629,51506,1321,3,2
44800,6.230481447578482,732,103700,1,22637,18984,56001,1222,3,1
60800,7.085064293952548,395,69000,1,34401,40259,72003,1420,3,6
73828,6.6039438246004725,1706,65451,1,25396,11602,36426,1295,1,2
76800,5.966146739123692,1523,76000,1,31120,28219,38200,1355,4,1
107800,6.525029657843462,2679,30000,1,37758,22758,41996,1130,2,7
155800,7.098375638590786,1856,119000,1,67750,53554,32302,1530,1,4
132800,6.373319789577012,1828,59000,1,51131,34176,36001,1375,1,1
213800,7.491087593534876,2102,29000,1,69262,48189,47000,2045,1,3
275888,7.722234744709607,2284,18500,1,85275,61352,38000,1695,3,6
41800,7.395107546562485,491,65399,1,28686,29172,75289,1574,1,5
160800,7.088408778675395,2712,62400,1,67692,35342,49001,1485,1,5
103800,7.098375638590786,1919,78000,1,34037,22494,31001,1480,1,5
137800,6.52795791762255,1864,45657,1,48453,36709,31101,1520,1,6
64800,7.098375638590786,1102,102600,1,33138,23227,56410,1626,2,5
54800,6.883462586413092,763,147000,1,29008,29472,57501,1545,1,4
90800,6.359573868672378,2589,55000,1,31812,16794,37334,1052,1,1
87800,8.112227958349724,2198,120300,1,22707,85250,37502,1850,3,4
184800,7.085064293952548,1463,50424,1,83027,65380,49802,1845,1,5
184800,6.52795791762255,2197,47600,1,66831,46412,35001,1635,1,4
148800,7.098375638590786,2315,36600,1,58864,39083,37500,1620,3,4
67800,6.606650186198215,821,82000,1,34185,33857,60001,1460,1,7
55800,6.226536669287466,1463,65000,1,20943,13572,42902,940,1,2
266800,6.373319789577012,3436,5000,1,123243,37049,95856,1610,1,5
77888,6.692083742506628,2227,208000,1,23098,24909,33140,1285,6,6
201800,6.373319789577012,2765,48000,1,71996,40341,47806,1555,1,5
44800,7.098375638590786,7,40000,1,32871,46786,74403,1615,2,4
127800,7.487733761436444,1492,61300,1,43022,32742,33420,1898,1,5
89000,6.525029657843462,2283,75000,1,29026,19194,35320,1130,1,7
37800,7.2909747781429814,948,166860,1,12124,20861,46048,1219,1,2
21800,6.429719478039138,365,95000,1,12075,19153,64900,1417,1,2
58800,8.796641458940915,1528,115000,1,21876,62900,51850,1775,2,6
73800,6.230481447578482,2073,80000,1,20183,13467,28589,1048,1,1
99000,7.098375638590786,1829,48969,1,35335,24412,31301,1626,1,2
116800,7.063903961472068,3046,92000,1,67579,54119,80583,1470,5,6
96800,5.971261839790462,1833,25804,1,35968,22065,31783,1190,1,1
89800,7.829630389150193,2198,143000,1,22707,59155,37502,1430,4,6
152800,6.436150368369428,2220,42882,1,51949,27819,41510,1545,1,5
17500,6.436150368369428,216,119000,1,6912,20925,60002,1249,2,1
160000,6.52795791762255,2621,42205,1,70331,38813,49300,1430,1,5
60800,6.436150368369428,1343,103729,1,22820,20318,42801,1249,2,1
117800,6.52795791762255,1978,67345,1,40907,30824,26659,1490,1,3
43800,7.487733761436444,764,120000,1,30137,26629,59889,1510,2,4
97888,7.755767170102998,2675,136000,1,33596,40299,45586,1650,5,4
101800,7.491087593534876,761,40880,1,45536,45427,57501,2075,1,3
73800,7.098375638590786,822,118800,1,41413,41373,50089,1615,1,4
53800,6.606650186198215,851,102350,1,27390,25384,59200,1425,3,1
73800,6.606650186198215,1098,96888,1,32576,27886,51506,1430,1,4
45800,6.52795791762255,401,86800,1,25749,26883,62101,1360,2,1
40800,6.230481447578482,943,119800,1,17761,18953,47300,1150,3,1
78800,7.400009517162692,1461,91200,1,33288,19837,48109,1535,2,5
91800,6.60934924316738,2102,88800,1,31392,20881,26667,1230,1,2
58800,6.612041034833092,1099,98988,1,25507,13492,42900,1449,3,1
179800,7.098375638590786,2707,33100,1,72304,41367,46790,1490,1,4
76800,6.525029657843462,1678,68800,1,23584,19427,36426,1130,2,7
38999,6.6039438246004725,730,133000,1,22127,18185,56001,1295,2,2
41800,7.0967213784947605,732,101800,1,21183,14948,60001,1566,2,5
43800,6.52795791762255,886,128200,1,18090,16698,45000,1046,3,1
185588,7.491087593534876,1885,52503,1,48151,36300,31001,1940,2,3
86800,7.491087593534876,1103,137000,1,49186,40888,56340,1615,1,4
69800,7.098375638590786,1467,96000,1,31890,17222,49012,1532,2,3
75888,7.396335293800808,1000,121260,1,36556,30564,57010,1855,2,3
172800,7.491087593534876,1497,68000,1,45789,36561,31307,1940,2,3
72800,6.525029657843462,1679,90160,1,28034,15677,37000,1100,1,2
103800,6.52795791762255,1649,101000,1,45058,34502,38000,1425,2,4
175900,7.098375638590786,2591,16000,1,64099,39114,40690,1400,2,6
42800,6.6039438246004725,822,115000,1,19399,12771,51301,1292,2,2
118800,7.77485576666552,768,80000,1,66209,62151,53001,1856,1,5
119800,6.52795791762255,1892,65000,1,49805,37835,30851,1415,2,5
75800,6.606650186198215,766,40662,1,30381,24971,57508,1395,2,1
22900,6.606650186198215,0,125000,1,13758,25004,62890,1425,2,1
118900,8.037220031133012,2592,102000,1,28558,82011,40014,1880,4,4
166800,7.098375638590786,2197,52000,1,64865,42149,38802,1485,1,5
56800,6.525029657843462,1369,97000,1,24519,12715,51106,1065,2,2
53800,6.60934924316738,1097,83000,1,26047,17982,47300,1205,2,2
138800,7.098375638590786,1155,90000,1,81930,71708,50389,1680,1,4
76000,6.872128101338986,2468,124000,1,22364,18768,32875,1100,6,1
121999,6.60934924316738,2828,54500,1,51227,19481,47010,1315,1,2
51800,6.436150368369428,1006,90000,1,22969,22568,53000,1310,3,4
86800,6.230481447578482,1583,77740,1,42876,33031,36810,1295,1,5
124800,6.230481447578482,2561,22839,1,48376,25237,49640,1320,1,5
88800,5.971261839790462,1679,76000,1,36048,24176,38941,1275,3,1
71800,6.230481447578482,1983,57771,1,19775,13467,29159,1048,1,1
77800,7.069874128458572,1365,88000,1,38560,26083,53001,1470,2,1
37800,6.60934924316738,246,97208,1,26677,36459,72369,1658,2,6
102800,7.347299700743164,2227,137000,1,24349,54487,34935,1315,5,6
517800,9.280332743796217,2710,38000,1,35586,471766,47701,2485,5,4
198800,6.373319789577012,2988,9000,1,102054,37856,82801,1420,1,4
135500,6.52795791762255,1861,22809,1,54200,36901,37912,1430,2,5
20000,6.674561391814426,553,196950,1,5188,8327,16438,955,5,1
133800,7.098375638590786,1738,127886,1,50673,41483,32809,1660,1,5
85800,7.091742115095153,1373,67000,1,43568,33612,47501,1644,1,4
126000,6.522092798170152,2619,37000,1,44151,19388,41503,1563,2,5
114800,7.0967213784947605,2193,74000,1,38556,18244,41361,1591,2,5
110800,6.406879986069314,2282,32947,1,44232,23980,40001,1538,1,3
49800,6.436150368369428,946,124000,1,20381,22566,47020,1310,3,4
119800,7.0967213784947605,2621,46000,1,48143,16755,49300,1489,2,5
385000,8.380456667842767,3078,53124,1,70704,268579,83464,1514,4,6
88888,7.360739903058278,2738,122000,1,35675,23514,47316,1530,4,4
82800,7.091742115095153,851,58000,1,47507,45373,59889,1465,1,4
34800,6.230481447578482,798,81000,1,15559,13923,57301,1081,3,1
78800,6.230481447578482,1893,73499,1,28951,20788,25000,1203,1,5
173800,7.098375638590786,2253,47000,1,73752,51807,40101,1540,1,4
111800,6.406879986069314,2287,66277,1,44316,24008,40001,1538,1,3
236663,8.83346272071993,2988,56663,1,60804,182668,73954,1845,4,6
179800,7.091742115095153,1888,89000,1,73251,57888,30959,1685,3,6
33800,6.60934924316738,735,133094,1,21536,16374,57301,1490,2,2
199888,6.373319789577012,2712,37000,1,70256,37002,50100,1555,1,5
128800,6.52795791762255,1980,25974,1,56412,38950,39401,1415,1,5
10300,6.716594773520978,278,110000,1,2441,20064,15256,1060,2,1
159800,6.52795791762255,2220,37000,1,54705,34175,35710,1505,2,4
94800,6.60934924316738,1856,40000,1,34845,20879,31783,1230,1,2
60800,7.098375638590786,399,96577,1,45483,56010,73900,1700,2,6
111800,7.401231264413015,1134,128000,1,46092,34489,50110,1775,1,3
172800,6.525029657843462,3289,2178,1,89483,21071,81089,1430,1,3
115500,6.495265555937008,2559,25022,1,40896,19465,37334,1110,1,5
86000,6.52795791762255,1825,61125,1,28959,16906,31997,1088,3,1
578000,8.606302366488013,2646,14500,1,185502,125849,51900,2035,2,6
172800,7.088408778675395,2560,38200,1,79116,35480,64901,1485,1,5
138800,7.098375638590786,1499,137000,1,80413,63422,57390,1615,3,4
59800,6.52795791762255,1100,35888,1,28484,23513,51507,1454,1,1
36800,6.525029657843462,370,75000,1,15457,18644,56209,1190,1,5
90800,7.069874128458572,1191,119810,1,46408,37621,53106,1716,2,4
143800,8.60922527686273,2928,95000,1,48801,88299,60586,1940,4,6
93888,6.52795791762255,2468,87006,1,35973,17683,33520,1096,3,2
99800,6.525029657843462,2588,32000,1,36448,14402,35990,1085,1,2
50800,6.933423025730715,1493,73000,1,17315,16412,41994,1313,1,2
58800,6.60934924316738,1160,136979,1,27909,17982,50951,1205,2,2
47800,7.098375638590786,942,92000,1,24112,19906,47000,1379,4,5
59800,7.086737934510577,760,90000,1,33163,29918,59889,1610,3,5
37800,7.396335293800808,368,110690,1,25149,28898,72180,1855,4,3
82800,7.098375638590786,1612,58000,1,32796,22366,37010,1472,1,4
62777,7.487733761436444,766,111000,1,35517,28069,56956,1568,1,5
140800,7.091742115095153,1490,100000,1,58752,49850,31307,1605,1,4
275800,7.767263996757308,1916,19191,1,102253,78689,32909,2109,2,5
63800,6.525029657843462,1493,96000,1,22822,18167,41761,1110,3,2
99400,6.7912214627261855,2928,95000,1,37440,31563,46482,1500,3,4
77800,7.491087593534876,973,81200,1,40495,36191,55100,1615,2,4
92000,6.52795791762255,1859,55000,1,28188,24947,30209,1225,3,1
49800,7.27931883541462,1103,100000,1,18491,29686,30293,1455,2,5
85800,6.612041034833092,1494,70000,1,40615,23146,57414,1630,2,7
32800,7.3987862754199485,34,156000,1,18923,24373,63001,1580,3,4
91800,6.52795791762255,1128,115592,1,41932,33980,49189,1425,1,4
214888,7.775695749915245,1619,76000,1,115236,92086,42322,1940,1,4
133000,7.098375638590786,1340,105000,1,65201,56222,47501,2070,1,5
39800,6.525029657843462,976,88000,1,21945,16622,55200,1321,3,2
58800,6.525029657843462,1314,83888,1,20237,15662,45201,1090,2,2
60800,6.525029657843462,1215,57600,1,23458,20871,48401,1190,2,5
78800,5.488937726156687,2197,40784,1,21764,16665,15309,1205,1,2
187788,7.098375638590786,2221,52000,1,78754,52511,41510,1540,1,4
57888,7.009408932708637,2043,160000,1,15715,13989,27886,1251,4,2
173800,7.085064293952548,1460,52250,1,66987,54896,36000,2105,1,5
85800,6.52795791762255,1580,100000,1,37336,26098,40000,1558,2,4
153800,7.098375638590786,1619,103000,1,70038,55168,45289,1715,1,5
159999,6.52795791762255,3526,2500,1,113260,17189,103721,1254,1,5
96800,5.971261839790462,1467,48000,1,35127,24711,33798,1280,1,4
60800,6.606650186198215,735,78000,1,33946,35294,60001,1425,2,4
44800,7.401231264413015,246,108000,1,27003,37721,67290,1930,2,3
130800,7.069874128458572,1859,64000,1,42084,30016,32302,1692,2,5
162800,7.098375638590786,2223,34800,1,54985,30808,40989,1695,1,5
96800,6.872128101338986,2802,79000,1,34940,31019,45272,1500,1,4
62800,6.230481447578482,1733,23082,1,15404,13305,25000,1048,2,1
101800,7.091742115095153,1245,87500,1,46119,41573,48556,1465,1,4
18000,6.7661917146603505,494,147485,1,4622,19750,16604,1329,6,2
37800,6.60934924316738,793,126000,1,22758,16439,59200,1205,2,2
51800,6.429719478039138,976,86000,1,26383,19019,55200,1245,3,6
618800,7.768110378525988,2289,20000,1,231158,168003,40009,1585,2,6
113000,7.091742115095153,1493,63000,1,57199,43854,57000,1465,1,4
182800,7.491087593534876,1495,97000,1,58117,48192,33420,2045,1,3
52800,6.525029657843462,1102,107445,1,26070,20847,50991,1321,2,2
283333,7.491087593534876,2684,62000,1,84501,53045,46002,2030,1,3
98800,6.525029657843462,2462,28242,1,29656,19333,33520,1130,2,7
46800,6.525029657843462,946,87000,1,19301,20973,47020,1190,3,5
80000,6.60934924316738,1677,103000,1,32185,19662,40000,1249,1,2
68800,6.52795791762255,1099,68625,1,32704,26342,56500,1324,1,2
38300,7.491087593534876,521,87000,1,27365,27619,71889,1470,1,4
50500,6.436150368369428,979,113000,1,23661,23810,53694,1249,2,1
56800,6.6039438246004725,1367,87000,1,24794,13230,42801,1284,2,2
47888,6.525029657843462,946,109000,1,17581,19583,45504,1320,3,3
95888,6.525029657843462,2073,85000,1,29492,17412,28589,1325,2,3
100800,7.098375638590786,1370,92000,1,48995,37057,54616,1535,1,6
277000,8.374246182096304,3322,78000,1,98391,182606,107652,2295,4,6
88800,6.6039438246004725,2197,67000,1,28824,12804,31759,1345,1,2
66500,6.230481447578482,1131,49638,1,26438,19750,42801,1325,1,5
133888,7.098375638590786,2069,70000,1,46848,30806,35906,1695,1,5
82800,6.359573868672378,2008,9803,1,18955,15750,26301,1052,1,1
91800,7.0967213784947605,1949,69931,1,29128,13438,35403,1591,2,5
59999,6.6039438246004725,1130,62000,1,24641,11090,44002,1345,1,2
164500,6.52795791762255,2710,37667,1,71717,39341,49489,1435,1,5
230800,6.373319789577012,2953,9120,1,125669,43336,95856,1435,1,4
138000,6.525029657843462,3166,10817,1,69534,21569,73801,1250,1,5
77000,7.0967213784947605,1465,48300,1,28943,13744,48109,1591,1,5
23400,6.436150368369428,460,79116,1,11304,19247,66010,1249,1,1
80000,6.525029657843462,1493,46331,1,27640,18085,30209,1331,1,2
123999,6.373319789577012,1984,54510,1,45454,30464,35403,1365,2,1
94800,6.359573868672378,2557,41000,1,29960,16040,35990,1030,1,1
36800,6.52795791762255,761,57800,1,18423,15479,57301,1046,4,1
109966,7.085064293952548,1951,100000,1,41681,26353,36961,1700,1,4
112800,7.491087593534876,943,83000,1,42731,41257,49156,2030,1,3
97800,7.767263996757308,551,113000,1,66433,70479,79500,2030,2,5
87800,7.347299700743164,2198,173000,1,22670,53848,32914,1735,6,6
95800,7.491087593534876,761,87056,1,39385,37196,61103,2020,1,3
57800,7.10002716662926,1001,103771,1,26267,21578,47000,1540,3,5
79888,7.491087593534876,944,78680,1,42431,40884,49156,1615,3,4
155800,6.373319789577012,2225,40000,1,55966,35756,40009,1420,2,4
122800,7.098375638590786,2622,51200,1,45520,20941,41503,1514,1,4
60000,7.10002716662926,767,93584,1,27544,18461,55501,1540,2,5
152800,7.979338895262328,1831,83000,1,54367,42440,31301,1780,1,4
118000,6.525029657843462,2646,25561,1,45702,21197,40556,1191,1,5
179800,7.775695749915245,1313,61345,1,107246,90326,54405,1940,2,4
67800,6.359573868672378,1674,60736,1,21074,14877,38001,1030,1,1
173800,7.069874128458572,2684,38224,1,57990,28666,46002,1695,1,5
179800,7.091742115095153,2223,129973,1,75398,55977,34000,1615,1,4
59800,8.172729104865471,1282,119153,1,18452,56212,52008,1615,6,6
235800,8.12415060330663,3198,53018,1,85568,91008,97176,1425,3,6
43800,6.230481447578482,641,73016,1,20917,19795,55889,1222,2,1
20000,6.86484777797086,551,159000,0,5080,11729,16438,1075,2,2
109800,7.491087593534876,1008,90000,1,41234,35329,58201,1980,2,3
13800,6.716594773520978,32,185387,1,2999,13130,15287,1030,5,1
31800,6.60934924316738,576,46718,1,18904,19589,68589,1205,2,2
40800,6.525029657843462,975,89000,1,21885,16546,55200,1321,3,2
30800,6.612041034833092,584,97800,1,19311,14976,66590,1360,1,2
319800,7.098375638590786,3468,5580,1,165914,62502,124501,1645,1,4
83888,7.098375638590786,1832,50000,1,32487,21051,32429,1290,1,5
103800,7.098375638590786,1528,38000,1,53420,37274,54334,1620,2,4
93800,6.525029657843462,1976,49978,1,31193,22254,25501,1200,1,5
48777,6.52795791762255,1004,78000,1,26020,22664,53000,1450,2,1
77800,6.6039438246004725,1466,75862,1,25821,14571,31997,1345,1,2
93800,6.60934924316738,1885,69000,1,28262,19964,25556,1249,1,2
68000,6.883462586413092,1245,133000,1,30265,19955,50621,1360,1,3
143800,7.098375638590786,1833,63000,1,57939,45907,31301,1540,1,4
56800,7.098375638590786,1005,52000,1,26343,20747,49700,1535,2,3
29800,6.230481447578482,610,110000,1,14253,20285,66000,1150,5,1
40800,4.248495242049359,1000,55515,1,13100,19355,36000,1188,1,1
133800,8.689127655323706,2742,97003,1,35727,97250,47316,1940,3,6
78000,6.410174881966167,1828,87000,1,25574,9101,31917,1115,1,2
111800,6.525029657843462,2736,30270,1,38869,23419,42000,1190,1,5
74800,7.90100705199242,1859,136000,1,16474,37374,32121,1625,6,4
48800,6.230481447578482,971,130000,1,23261,18689,55200,1285,1,5
88888,7.396335293800808,1215,91000,1,38095,29738,48209,1769,2,3
72777,6.813444599510896,1283,117000,1,39153,28074,53001,1320,2,1
47000,7.495541943884256,273,121000,1,34036,46806,65002,1640,2,4
99000,8.112227958349724,2462,135000,1,22427,88183,32914,1850,3,4
57800,6.436150368369428,1001,77000,1,25812,25046,56000,1288,2,1
199800,8.514790306799927,913,123980,1,151179,142635,54920,2015,2,4
52800,4.248495242049359,1646,37000,1,12541,14015,20000,940,2,2
68800,6.946013991099227,2282,149000,1,20361,17853,32368,1195,3,2
145800,7.085064293952548,1098,115000,1,73265,63559,56340,1845,2,5
79800,6.883462586413092,1528,125000,1,38035,19955,57414,1355,1,3
312800,8.933796043934858,2830,42000,1,45014,222743,57955,1500,6,6
92888,6.60934924316738,1924,85000,1,28388,19890,25501,1249,2,2
98800,7.347299700743164,2198,152000,1,22670,47414,32914,1615,5,4
104888,5.971261839790462,2197,27000,1,37518,19253,33520,1190,2,1
38900,6.6039438246004725,799,155000,1,19241,15198,45002,1292,2,2
149888,7.085064293952548,2070,59100,1,63836,43357,47000,1795,2,5
88888,7.086737934510577,1310,95800,1,42160,33944,54406,1610,3,5
136800,6.52795791762255,2710,40747,1,61429,32653,44589,1340,1,1
