Road Tax,OMV,Curb Weight,Mileage,COE Left,Price,COE Price,No. Of Owners
742,16374,1490,133094,735,33800,57301,2
586,37002,1555,37000,2712,199888,50100,1
684,38950,1415,25974,1980,128800,39401,1
826,20064,1060,110000,278,10300,15256,2
684,34175,1505,37000,2220,159800,35710,2
742,20879,1230,40000,1856,94800,31783,1
1210,56010,1700,96577,399,60800,73900,2
1638,34489,1775,128000,1134,111800,50110,1
682,21071,1430,2178,3289,172800,81089,1
662,19465,1110,25022,2559,115500,37334,1
684,16906,1088,61125,1825,86000,31997,3
5466,125849,2035,14500,2646,578000,51900,2
1198,35480,1485,38200,2560,172800,64901,1
1210,63422,1615,137000,1499,138800,57390,3
684,23513,1454,35888,1100,59800,51507,1
682,18644,1190,75000,370,36800,56209,1
1176,37621,1716,119810,1191,90800,53106,2
5482,88299,1940,95000,2928,143800,60586,4
684,17683,1096,87006,2468,93888,33520,3
682,14402,1085,32000,2588,99800,35990,1
1026,16412,1313,73000,1493,50800,41994,1
742,17982,1205,136979,1160,58800,50951,2
1210,19906,1379,92000,942,47800,47000,4
1196,29918,1610,90000,760,59800,59889,3
1630,28898,1855,110690,368,37800,72180,4
1210,22366,1472,58000,1612,82800,37010,1
1786,28069,1568,111000,766,62777,56956,1
1202,49850,1605,100000,1490,140800,31307,1
2362,78689,2109,19191,1916,275800,32909,2
682,18167,1110,96000,1493,63800,41761,3
890,31563,1500,95000,2928,99400,46482,3
1792,36191,1615,81200,973,77800,55100,2
684,24947,1225,55000,1859,92000,30209,3
1450,29686,1455,100000,1103,49800,30293,2
744,23146,1630,70000,1494,85800,57414,2
1634,24373,1580,156000,34,32800,63001,3
684,33980,1425,115592,1128,91800,49189,1
2382,92086,1940,76000,1619,214888,42322,1
1210,56222,2070,105000,1340,133000,47501,1
682,16622,1321,88000,976,39800,55200,3
682,15662,1090,83888,1314,58800,45201,2
682,20871,1190,57600,1215,60800,48401,2
242,16665,1205,40784,2197,78800,15309,1
1210,52511,1540,52000,2221,187788,41510,1
1107,13989,1251,160000,2043,57888,27886,4
1194,54896,2105,52250,1460,173800,36000,1
684,26098,1558,100000,1580,85800,40000,2
1210,55168,1715,103000,1619,153800,45289,1
684,17189,1254,2500,3526,159999,103721,1
392,24711,1280,48000,1467,96800,33798,1
740,35294,1425,78000,735,60800,60001,2
1638,37721,1930,108000,246,44800,67290,2
1176,30016,1692,64000,1859,130800,32302,2
1210,30808,1695,34800,2223,162800,40989,1
965,31019,1500,79000,2802,96800,45272,1
508,13305,1048,23082,1733,62800,25000,2
1202,41573,1465,87500,1245,101800,48556,1
868,19750,1329,147485,494,18000,16604,6
742,16439,1205,126000,793,37800,59200,2
620,19019,1245,86000,976,51800,55200,3
2364,168003,1585,20000,2289,618800,40009,2
1202,43854,1465,63000,1493,113000,57000,1
1792,48192,2045,97000,1495,182800,33420,1
682,20847,1321,107445,1102,52800,50991,2
1792,53045,2030,62000,2684,283333,46002,1
682,19333,1130,28242,2462,98800,33520,2
682,20973,1190,87000,946,46800,47020,3
742,19662,1249,103000,1677,80000,40000,1
684,26342,1324,68625,1099,68800,56500,1
1792,27619,1470,87000,521,38300,71889,1
624,23810,1249,113000,979,50500,53694,2
738,13230,1284,87000,1367,56800,42801,2
682,19583,1320,109000,946,47888,45504,3
682,17412,1325,85000,2073,95888,28589,2
1210,37057,1535,92000,1370,100800,54616,1
4334,182606,2295,78000,3322,277000,107652,4
738,12804,1345,67000,2197,88800,31759,1
508,19750,1325,49638,1131,66500,42801,1
1210,30806,1695,70000,2069,133888,35906,1
578,15750,1052,9803,2008,82800,26301,1
1208,13438,1591,69931,1949,91800,35403,2
738,11090,1345,62000,1130,59999,44002,1
684,39341,1435,37667,2710,164500,49489,1
586,43336,1435,9120,2953,230800,95856,1
682,21569,1250,10817,3166,138000,73801,1
1208,13744,1591,48300,1465,77000,48109,1
624,19247,1249,79116,460,23400,66010,1
682,18085,1331,46331,1493,80000,30209,1
586,30464,1365,54510,1984,123999,35403,2
578,16040,1030,41000,2557,94800,35990,1
684,15479,1046,57800,761,36800,57301,4
1194,26353,1700,100000,1951,109966,36961,1
1792,41257,2030,83000,943,112800,49156,1
2362,70479,2030,113000,551,97800,79500,2
1552,53848,1735,173000,2198,87800,32914,6
1792,37196,2020,87056,761,95800,61103,1
1212,21578,1540,103771,1001,57800,47000,3
1792,40884,1615,78680,944,79888,49156,3
586,35756,1420,40000,2225,155800,40009,2
1210,20941,1514,51200,2622,122800,41503,1
1212,18461,1540,93584,767,60000,55501,2
2920,42440,1780,83000,1831,152800,31301,1
682,21197,1191,25561,2646,118000,40556,1
2382,90326,1940,61345,1313,179800,54405,2
578,14877,1030,60736,1674,67800,38001,1
1176,28666,1695,38224,2684,173800,46002,1
1202,55977,1615,129973,2223,179800,34000,1
3543,56212,1615,119153,1282,59800,52008,6
3375,91008,1425,53018,3198,235800,97176,3
508,19795,1222,73016,641,43800,55889,2
958,11729,1075,159000,551,20000,16438,2
1792,35329,1980,90000,1008,109800,58201,2
826,13130,1030,185387,32,13800,15287,5
742,19589,1205,46718,576,31800,68589,2
682,16546,1321,89000,975,40800,55200,3
744,14976,1360,97800,584,30800,66590,1
1210,62502,1645,5580,3468,319800,124501,1
1210,21051,1290,50000,1832,83888,32429,1
1210,37274,1620,38000,1528,103800,54334,2
682,22254,1200,49978,1976,93800,25501,1
684,22664,1450,78000,1004,48777,53000,2
738,14571,1345,75862,1466,77800,31997,1
742,19964,1249,69000,1885,93800,25556,1
976,19955,1360,133000,1245,68000,50621,1
1210,45907,1540,63000,1833,143800,31301,1
1210,20747,1535,52000,1005,56800,49700,2
508,20285,1150,110000,610,29800,66000,5
70,19355,1188,55515,1000,40800,36000,1
5938,97250,1940,97003,2742,133800,47316,3
608,9101,1115,87000,1828,78000,31917,1
682,23419,1190,30270,2736,111800,42000,1
2700,37374,1625,136000,1859,74800,32121,6
508,18689,1285,130000,971,48800,55200,1
1630,29738,1769,91000,1215,88888,48209,2
910,28074,1320,117000,1283,72777,53001,2
1800,46806,1640,121000,273,47000,65002,2
3335,88183,1850,135000,2462,99000,32914,3
624,25046,1288,77000,1001,57800,56000,2
4988,142635,2015,123980,913,199800,54920,2
70,14015,940,37000,1646,52800,20000,2
1039,17853,1195,149000,2282,68800,32368,3
1194,63559,1845,115000,1098,145800,56340,2
976,19955,1355,125000,1528,79800,57414,1
7584,222743,1500,42000,2830,312800,57955,6
742,19890,1249,85000,1924,92888,25501,2
1552,47414,1615,152000,2198,98800,32914,5
392,19253,1190,27000,2197,104888,33520,2
738,15198,1292,155000,799,38900,45002,2
1194,43357,1795,59100,2070,149888,47000,2
1196,33944,1610,95800,1310,88888,54406,3
684,32653,1340,40747,2710,136800,44589,1
1200,74592,1365,62000,2006,280800,39401,1
508,18689,1285,76000,1155,52900,48000,2
1520,21644,1780,91000,610,43777,71509,2
682,19386,1190,88000,761,39900,55889,2
682,13788,1085,63000,2067,84800,26999,1
604,16597,1650,105232,884,44800,46502,1
578,15689,1030,38000,1827,76900,31917,2
3335,85295,1850,140000,2012,79800,35411,3
1196,27715,1610,81388,855,61800,45009,2
1520,48440,1760,59000,769,123800,55501,2
5632,101821,1880,115000,2623,141800,40714,6
1212,54597,1660,69752,769,87800,56889,3
2362,85073,1750,125000,278,92000,64889,2
742,17982,1205,87001,1097,54800,47300,2
1194,64854,1795,16000,2222,294800,40790,1
742,19724,1249,92555,1612,78500,42339,2
1212,19249,1540,93000,1313,74888,53001,2
2362,56353,1585,32000,399,104800,61001,2
1194,62469,1845,89000,1128,148800,57903,1
578,15864,1052,69000,1825,72900,32699,1
1210,34667,1680,124630,461,48800,76889,3
738,14550,1295,90000,796,41800,54301,2
740,28937,1435,97000,1670,100777,38941,3
742,30987,1430,73000,2557,129777,40990,1
600,21569,1323,15700,3139,140800,92090,1
8250,310140,2490,3000,3130,1558,87000,1
738,12707,1295,120000,1460,60900,41761,1
1176,38681,1695,36200,2709,171800,47001,2
1023,17514,1210,172372,738,38800,51518,4
976,31410,1480,99900,919,56800,51010,1
508,13622,1048,69888,1553,57500,46791,1
7294,145162,1875,155462,2377,138800,33568,3
624,20408,1249,90600,1367,60800,44002,2
1026,16949,1313,109000,1830,60800,30284,3
1467,17609,1350,132000,1466,53800,50451,2
624,20002,1270,41888,2225,113888,36502,2
682,19733,1190,101218,915,42800,47300,2
684,27677,1425,108831,852,59800,46970,2
2457,30686,1750,185000,1734,74000,34991,5
1101,11595,1162,140000,888,35800,46077,2
182,20600,1190,72635,912,44800,30889,1
1792,36195,1615,97700,1188,86800,46229,3
1194,63547,1920,5000,3412,373800,118001,1
2362,68529,2109,45000,2621,323800,49300,1
1792,33655,2020,98000,1524,151800,57390,1
738,16883,1295,134000,1098,53800,51507,1
1196,28272,1610,130000,429,35800,74389,2
2598,80163,1750,121000,3290,184800,109643,4
604,14362,1440,79000,1101,55800,52751,1
1210,24596,1626,56000,1341,76800,47501,1
1210,18062,1535,157339,794,43998,55001,1
1210,17537,1532,88533,1102,68998,50101,2
392,18410,970,36980,3197,124500,80000,1
508,18974,1285,120000,917,41888,46009,1
1210,50933,1540,110831,1496,134800,57390,1
392,22090,1280,36560,2617,129555,40714,1
1786,23578,1498,43914,186,19900,77003,3
1815,30911,1345,198308,1950,85998,31933,4
2382,92391,1940,54555,1677,228800,39000,1
738,12600,1295,102000,1524,62000,46791,1
3573,81044,1850,179000,1253,53800,50347,3
3082,122630,2220,112390,1642,270000,44000,1
1196,29683,1610,102831,795,58800,60001,2
392,22452,1165,61730,1133,68000,42902,2
806,22083,1377,144000,798,31300,18652,3
1202,55854,1640,7550,2464,215000,35001,1
8144,97182,1730,85000,3293,248800,109643,6
2384,87886,1770,111600,1337,175000,53001,2
740,37480,1425,88200,1673,118000,37605,2
2362,115517,1900,71100,972,179800,49000,1
1815,25948,1530,168000,1923,63300,31335,1
682,16622,1321,136777,976,40800,55200,3
1677,22003,1380,149201,2198,77800,37502,4
2120,54770,1730,113000,642,81888,58109,3
740,35914,1490,55312,2044,147998,39401,1
684,36835,1500,900,3502,222555,92000,1
7000,265996,2437,7200,2439,858800,32500,1
684,26870,1360,128000,734,46888,59889,1
624,26038,1572,87889,1827,129998,35943,1
586,35445,1385,27000,2468,204888,37109,1
1202,57757,1615,113831,1127,132800,49000,1
2382,67295,1845,102000,1832,191800,31307,1
1039,37434,1255,158154,2192,77800,30574,6
744,15849,1480,159000,947,49500,47889,1
742,35407,1428,45000,2738,154000,61190,1
3922,158434,2595,66,3531,957888,108006,1
3094,76947,1875,151185,2742,123800,47316,6
5834,268823,1450,36,3435,1510,110000,1
662,18674,1110,80620,2282,111800,34001,1
2382,75114,1940,170200,947,148000,38610,1
2382,91812,1940,65400,1893,258000,31101,1
2382,71226,1875,2500,3041,343000,93590,1
1200,72368,1365,54200,1277,204888,53300,3
1026,16847,1313,165210,1645,53800,38655,3
1202,49580,1680,129000,240,46800,67304,2
1461,51263,1540,153778,1675,56998,38712,5
682,14466,1310,88000,1857,76800,25000,2
1113,15245,1115,157000,1336,42800,50625,2
1194,33340,1678,19000,3289,223800,108003,1
1369,20987,1350,155000,433,18800,19657,3
742,26753,1320,98000,973,53888,49156,2
684,32342,1430,88988,1369,93800,50001,2
742,19491,1249,85000,763,59800,53334,3
3940,364161,2295,47,3562,1750,105459,1
959,11164,1267,118000,977,36800,22636,3
620,26619,1373,70591,576,43500,77600,5
1169,54305,1470,125277,2773,107998,49716,5
586,33032,1410,52150,2195,139800,37000,1
1792,48189,2045,64242,1894,198800,31001,1
1210,23955,1626,83000,1252,69800,51000,2
738,17892,1295,126782,732,39800,57301,1
974,20133,1350,77000,1216,68500,48556,1
682,21881,1130,68000,2460,99800,33000,1
586,30464,1365,19000,2197,132000,48010,2
959,12704,1251,118000,949,32800,22636,3
1194,37812,1790,98000,368,55088,60789,2
8250,472997,2819,102,3555,2487,102002,1
2293,34730,1770,112000,2193,91800,37502,3
620,17553,1417,120500,580,29500,66590,1
1786,32063,1808,61200,2615,176000,49300,1
1210,30406,1057,35000,763,69800,62019,1
578,16270,1070,79,3352,131800,80000,1
508,18725,1285,99952,1186,52007,50889,1
742,20645,1249,59264,1494,89888,28000,2
1210,19665,1535,120000,915,51500,47510,1
600,17555,1240,96334,1642,73000,37330,1
2362,69608,2025,80000,1157,152888,53001,2
508,20452,1325,50000,1619,79800,37000,1
1210,18404,1535,95222,401,41800,62140,2
1202,52579,1605,124342,1499,130800,48109,1
740,27715,1435,64033,2257,131000,35320,1
2384,103421,2320,21153,2011,328800,52410,2
682,20569,1321,94561,1223,55800,48401,1
684,23639,1393,25800,2460,128800,35889,2
1210,36832,1570,90000,1192,87800,48209,1
684,32721,1320,42000,2435,136900,32500,2
1210,40432,1615,110000,795,69800,60001,2
1210,53680,1530,88000,1492,154800,32001,1
1210,43504,1715,85000,761,102500,57002,3
976,19953,1360,117000,790,48888,62019,1
684,15908,1078,65000,1642,70800,38830,1
885,11850,1010,133000,1678,51800,38192,4
1467,16413,1410,126000,1611,65800,44998,2
1039,20294,1275,155000,2198,61800,30574,2
1026,17926,1313,71000,2043,63800,27886,3
1210,28695,1480,67000,912,61500,46502,2
2335,41260,1725,126000,2227,95800,34935,1
742,24227,1310,67900,370,29900,72180,2
1208,17946,1591,53000,1831,112800,38602,2
392,18383,970,12800,3107,118800,72996,1
682,23722,1250,5000,3109,130800,70901,1
742,20881,1230,54460,2067,92800,26999,1
1467,23035,1219,209974,1833,63500,32279,2
586,36294,1420,34529,2340,173800,30890,1
684,30044,1380,39716,2253,121000,33009,3
738,13828,1287,34800,1923,82800,23568,1
508,28270,1270,54900,1617,89800,38830,2
1674,52978,1760,23000,3077,272800,98889,1
682,15572,1100,70970,2194,87888,34001,1
682,48503,1675,46000,3130,248800,99999,1
1194,33484,1678,20000,3014,206800,88000,1
742,19491,1249,120000,760,58500,51506,2
578,16864,1070,13000,3047,104800,47001,2
624,26909,1300,127480,828,49888,51301,3
1672,37422,1466,112000,2371,110800,33568,3
1210,52877,1540,49999,2464,181800,35001,2
684,33558,1375,1300,3352,168500,88007,1
1791,51884,1280,105600,1461,71800,34991,4
1210,39959,1535,49888,2460,168888,36502,3
2694,64690,1685,108300,1615,62800,40881,4
1520,23247,1780,145000,367,28200,72180,1
624,27129,1395,52000,1863,118800,32302,3
742,17982,1205,63200,1097,59800,47300,2
1784,51178,1680,37000,2556,220800,56100,1
738,20859,1594,56000,2402,125000,37705,1
826,18625,1060,83332,2198,67800,30574,4
1458,18803,1310,139160,1859,64800,32121,3
740,24914,1395,94000,912,64000,46970,2
1210,18304,1535,87000,914,48800,49602,1
1194,52340,1500,120000,736,95000,59889,6
392,22279,1280,52600,2710,134800,44589,1
1792,35305,1615,188000,7,41800,73010,2
738,14111,1295,79000,914,44500,46009,2
1176,37616,1782,72000,2464,188000,34989,2
710,23682,1480,78000,1861,107800,19001,1
742,16713,1205,47000,1825,80800,32725,1
1023,15423,1130,140000,1648,49388,38655,2
682,20032,1140,92500,979,47800,49000,1
238,10942,1345,30000,1460,66800,14997,1
684,23133,1221,48000,881,49800,51301,1
684,25458,1558,75000,1523,81800,46791,1
742,17804,1205,61230,399,41800,57089,1
392,17777,1190,8008,2562,116800,47000,1
682,19362,1350,69500,1465,88800,33798,1
1210,31663,1485,97800,919,74800,47000,3
1210,52323,1745,60800,2256,192800,40101,1
682,23185,1190,77000,1126,57800,52668,1
740,23217,1395,106000,946,59800,45000,1
1039,17853,1195,151000,2229,67800,32416,6
684,26078,1324,113222,769,70800,56500,1
1210,78250,1720,103000,1496,165800,57000,2
1113,17853,1195,147163,2072,62800,29839,4
682,19404,1190,72000,910,45300,46009,1
684,34165,1505,28500,2588,166800,38504,1
624,19031,1289,57500,2315,104800,32801,1
1210,41422,1755,24600,2797,204800,60109,2
976,23454,1360,155000,548,35888,71889,2
2384,81088,1835,31000,1892,199800,30959,4
742,20088,1237,54000,2065,94688,30009,2
1467,19294,1219,168000,880,34800,50932,2
1101,15396,1162,160000,1984,58688,25525,1
958,15434,1325,130000,2198,64800,30574,2
682,21641,1320,91000,1009,53888,52503,1
682,17515,1090,22100,2825,116800,45001,1
1210,19237,1682,108000,1251,75800,53300,4
738,13616,1345,66000,1553,69999,36890,1
1210,41972,1832,37944,1831,163800,38602,1
1786,31476,1809,47000,2832,181000,61112,1
740,27886,1430,89000,1004,69800,53694,2
1210,17483,1535,71000,397,43800,61001,1
1210,22600,1472,78000,1494,76988,49012,2
1026,17531,1313,120000,1950,60800,25727,3
684,34419,1425,65000,1460,93988,52000,2
624,32098,1450,107900,1338,82988,49802,2
1630,27932,1769,91554,1096,99800,54406,2
2362,72620,1750,89000,400,114988,62101,2
600,18255,1240,65000,1889,89988,31001,1
740,32984,1425,153000,369,37800,73010,2
682,20969,1130,23800,2564,106988,30010,1
