Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
70800,684,1339,85000,10.137808404440463,42801,1589,2
308888,2380,1829,6790,11.423930303398667,32001,1985,1
64800,740,366,76552,10.603684822708555,65501,1425,2
110800,392,2555,43217,9.878579916829944,46689,970,1
16800,738,274,137000,9.523251498473739,61990,1295,1
120888,1212,1527,133000,10.786779773146707,47002,1720,2
171888,586,3017,12000,10.41277198928329,57010,1380,1
175800,1210,2340,20700,10.657682794661007,30012,1832,2
126800,684,1980,43400,10.554822665281634,37620,1415,2
117800,586,1885,59000,10.359550713407383,31101,1375,3
194800,2382,1095,113600,11.290481668770292,54406,2180,1
74800,1210,1522,98217,9.745312117570252,57390,1532,1
89800,740,1311,110000,10.454552601161618,54405,1430,3
189800,1210,2066,64000,11.098818120080674,34000,1615,2
96800,682,2225,38000,10.05496322915898,32000,1190,1
70800,740,821,76000,10.502983177014618,60001,1425,2
138800,2382,821,103000,11.482064114781311,61103,1935,2
197800,1210,2560,41938,10.701827734724208,40690,1685,1
300000,2384,2615,47000,11.326848866824777,39500,2135,2
120800,624,1826,35900,10.078742533123364,39728,1288,1
71800,740,1095,94000,10.125470430529585,57508,1395,2
253888,1200,1647,48300,11.246195685493095,38801,1440,2
129800,1176,1467,114000,10.547181849376543,32809,1841,3
115800,1210,2438,55200,9.970491781316602,40009,1514,1
124888,1202,1310,98000,10.963549569921238,53300,1615,1
137888,1210,1700,89000,10.63303898373978,36000,1660,2
41800,740,461,158200,10.30551341989678,66010,1430,2
95800,682,2462,33445,9.53899642739739,33520,1085,1
188000,6036,2773,63000,11.683174440529914,49716,1980,4
209555,2362,1469,90000,11.278619848949827,34381,1850,2
146555,1210,1828,93854,10.777914080311584,38602,1495,1
64800,1210,614,103000,10.568183816922058,75000,1505,4
85800,738,1860,51000,9.807141836749443,28000,1287,1
77800,1638,829,86235,10.521102670483636,57501,1775,1
45300,682,1102,126000,9.718903438087914,51506,1321,3
44800,508,732,103700,9.8513517981156,56001,1222,3
