Listing ID,Listing URL,Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
1214863,https://www.sgcarmart.com/used_cars/info.php?ID=1214863,Volkswagen,18000,12930,868,5-Mar-10,494,147485,2009,Auto,4622,19750,19750,16604,1390,90,1329,6,Mid-Sized Sedan
1210078,https://www.sgcarmart.com/used_cars/info.php?ID=1210078,Volkswagen,18000,12830,620,30-Oct-14,370,83000,2014,Auto,11714,19154,9154,63990,1390,90,1417,5,Mid-Sized Sedan
1225974,https://www.sgcarmart.com/used_cars/info.php?ID=1225974,Honda,18800,15420,1369,11-Jan-10,433,155000,2008,Auto,4793,20987,20987,19657,1799,103,1350,3,MPV
1233643,https://www.sgcarmart.com/used_cars/info.php?ID=1233643,Nissan,18800,15780,684,10-Sep-14,6,80500,2014,Auto,9891,13900,8900,60002,1498,73,1040,2,Mid-Sized Sedan
1220365,https://www.sgcarmart.com/used_cars/info.php?ID=1220365,Volkswagen,18888,18630,620,18-Jul-14,273,178047,2013,Auto,9404,19399,9399,61990,1390,90,1417,1,Mid-Sized Sedan
1236427,https://www.sgcarmart.com/used_cars/info.php?ID=1236427,Mazda,19000,17180,1210,18-Aug-14,3,138000,2014,Auto,9942,18914,8914,65001,1998,114,1438,3,Luxury Sedan
1212354,https://www.sgcarmart.com/used_cars/info.php?ID=1212354,Kia,19800,14430,1033,26-Feb-10,486,166000,2009,Auto,4526,15754,15754,16519,1591,92.7,1232,4,Mid-Sized Sedan
1221954,https://www.sgcarmart.com/used_cars/info.php?ID=1221954,Kia,19800,14480,1033,24-Feb-10,494,100800,2009,Auto,4508,14240,14240,16519,1591,92.7,1207,4,Sports Car
1232295,https://www.sgcarmart.com/used_cars/info.php?ID=1232295,Mazda,19800,13740,1039,23-Mar-10,523,150000,2009,Auto,4776,20611,20611,16604,1598,77,1275,4,Mid-Sized Sedan
1230526,https://www.sgcarmart.com/used_cars/info.php?ID=1230526,Mazda,19900,18150,1786,30-Apr-14,186,43914,2013,Auto,14104,23578,20010,77003,2488,138,1498,3,Luxury Sedan
1223328,https://www.sgcarmart.com/used_cars/info.php?ID=1223328,Volkswagen,19999,15340,868,2-Feb-10,462,150008,2009,Auto,4212,21853,21853,16184,1390,90,1241,4,Hatchback
1239664,https://www.sgcarmart.com/used_cars/info.php?ID=1239664,Perodua,20000,12670,792,12-May-10,553,196950,2010,Auto,5188,8327,8327,16438,1298,64,955,5,Hatchback
9999999,https://ww.google.com,tesla,20000,0,0,1-Nov-16,999,30000,2016,Auto,18000,1,1,2000,1800,160,1400,1,SUV
1239585,https://www.sgcarmart.com/used_cars/info.php?ID=1239585,Toyota,20000,12940,958,30-Apr-10,551,159000,2010,Manual,5080,11729,11729,16438,1497,80,1075,2,Mid-Sized Sedan
1238507,https://www.sgcarmart.com/used_cars/info.php?ID=1238507,Honda,20800,15950,955,12-Feb-10,462,146018,2008,Auto,4212,21176,21176,16184,1496,87,1300,3,MPV
1239136,https://www.sgcarmart.com/used_cars/info.php?ID=1239136,Volvo,20800,10270,2371,22-Oct-10,737,138502,2010,Auto,7727,42989,42989,19108,2521,170,1673,2,Luxury Sedan
1238804,https://www.sgcarmart.com/used_cars/info.php?ID=1238804,Volkswagen,21000,13560,620,29-Dec-14,429,98989,2014,Auto,12994,19152,9152,65889,1390,90,1417,2,Mid-Sized Sedan
1237554,https://www.sgcarmart.com/used_cars/info.php?ID=1237554,Kia,21800,12730,1033,30-Jun-10,610,155380,2010,Auto,5620,14407,14407,16438,1591,92.7,1251,4,Mid-Sized Sedan
1185913,https://www.sgcarmart.com/used_cars/info.php?ID=1185913,Kia,21800,14010,1033,4-May-10,554,161000,2010,Auto,5107,15610,15610,16438,1591,92.7,1232,6,Sports Car
1209658,https://www.sgcarmart.com/used_cars/info.php?ID=1209658,Volkswagen,21800,15870,620,13-Nov-14,365,95000,2014,Auto,12075,19153,9153,64900,1390,90,1417,1,Mid-Sized Sedan
1233735,https://www.sgcarmart.com/used_cars/info.php?ID=1233735,BMW,21900,14940,1691,20-May-10,522,142455,2010,Auto,5181,28565,28565,17708,1995,100,1390,4,Luxury Sedan
1239688,https://www.sgcarmart.com/used_cars/info.php?ID=1239688,Mercedes-Benz,22900,17230,740,14-Aug-14,0,125000,2014,Auto,13758,25004,17006,62890,1595,90,1425,2,Hatchback
1235909,https://www.sgcarmart.com/used_cars/info.php?ID=1235909,Kia,22988,11690,959,14-Oct-10,402,143000,2010,Auto,6519,10730,10730,16570,1591,92.7,1251,4,Mid-Sized Sedan
1239187,https://www.sgcarmart.com/used_cars/info.php?ID=1239187,Honda,23388,13840,1036,22-Jun-10,612,155000,2008,Auto,5548,23808,23808,16438,1595,92,1220,6,Mid-Sized Sedan
1239587,https://www.sgcarmart.com/used_cars/info.php?ID=1239587,Volkswagen,23400,16130,624,29-Jan-15,460,79116,2014,Auto,11304,19247,5000,66010,1395,90,1249,1,Hatchback
1238586,https://www.sgcarmart.com/used_cars/info.php?ID=1238586,Honda,23800,12100,767,19-Oct-10,401,106606,2008,Manual,6510,19409,19409,16570,1339,73,1060,3,Hatchback
1233399,https://www.sgcarmart.com/used_cars/info.php?ID=1233399,Kia,23800,12100,959,29-Oct-10,402,165000,2010,Auto,6519,13445,13445,16570,1591,92.7,1251,5,Mid-Sized Sedan
1239036,https://www.sgcarmart.com/used_cars/info.php?ID=1239036,Mazda,23800,19080,682,28-Oct-14,368,141000,2014,Auto,10761,17861,7861,62000,1496,88,1339,2,Mid-Sized Sedan
