Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
75888,1630,1000,121260,30564,57010,1855,0.6931471805599453
172800,1792,1497,68000,36561,31307,1940,0.6931471805599453
72800,682,1679,90160,15677,37000,1100,0.0
103800,684,1649,101000,34502,38000,1425,0.6931471805599453
175900,1210,2591,16000,39114,40690,1400,0.6931471805599453
42800,738,822,115000,12771,51301,1292,0.6931471805599453
118800,2380,768,80000,62151,53001,1856,0.0
119800,684,1892,65000,37835,30851,1415,0.6931471805599453
75800,740,766,40662,24971,57508,1395,0.6931471805599453
22900,740,0,125000,25004,62890,1425,0.6931471805599453
118900,3094,2592,102000,82011,40014,1880,1.3862943611198906
166800,1210,2197,52000,42149,38802,1485,0.0
56800,682,1369,97000,12715,51106,1065,0.6931471805599453
53800,742,1097,83000,17982,47300,1205,0.6931471805599453
138800,1210,1155,90000,71708,50389,1680,0.0
76000,965,2468,124000,18768,32875,1100,1.791759469228055
121999,742,2828,54500,19481,47010,1315,0.0
51800,624,1006,90000,22568,53000,1310,1.0986122886681098
86800,508,1583,77740,33031,36810,1295,0.0
124800,508,2561,22839,25237,49640,1320,0.0
88800,392,1679,76000,24176,38941,1275,1.0986122886681098
71800,508,1983,57771,13467,29159,1048,0.0
77800,1176,1365,88000,26083,53001,1470,0.6931471805599453
37800,742,246,97208,36459,72369,1658,0.6931471805599453
102800,1552,2227,137000,54487,34935,1315,1.6094379124341003
517800,10725,2710,38000,471766,47701,2485,1.6094379124341003
198800,586,2988,9000,37856,82801,1420,0.0
135500,684,1861,22809,36901,37912,1430,0.6931471805599453
20000,792,553,196950,8327,16438,955,1.6094379124341003
133800,1210,1738,127886,41483,32809,1660,0.0
85800,1202,1373,67000,33612,47501,1644,0.0
126000,680,2619,37000,19388,41503,1563,0.6931471805599453
114800,1208,2193,74000,18244,41361,1591,0.6931471805599453
110800,606,2282,32947,23980,40001,1538,0.0
49800,624,946,124000,22566,47020,1310,1.0986122886681098
119800,1208,2621,46000,16755,49300,1489,0.6931471805599453
385000,4361,3078,53124,268579,83464,1514,1.3862943611198906
88888,1573,2738,122000,23514,47316,1530,1.3862943611198906
82800,1202,851,58000,45373,59889,1465,0.0
34800,508,798,81000,13923,57301,1081,1.0986122886681098
78800,508,1893,73499,20788,25000,1203,0.0
173800,1210,2253,47000,51807,40101,1540,0.0
111800,606,2287,66277,24008,40001,1538,0.0
236663,6860,2988,56663,182668,73954,1845,1.3862943611198906
