Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
BMW,54800,17610,684,26-Feb-2016,855,147093,2015,Auto,26632,27677,25748,46970,1499,100.0,1425,3,Luxury Sedan
BMW,50800,21350,1210,18-Dec-2014,432,123000,2013,Auto,36618,45586,50821,72890,1997,135.0,1615,2,Luxury Sedan
Honda,105800,16110,742,18-Sep-2019,1862,85000,2019,Auto,33963,20072,20101,31783,1597,92.0,1237,2,Mid-Sized Sedan
Toyota,72800,11060,958,10-May-2010,2379,155000,2010,Auto,21643,12331,12331,32875,1497,80.0,1095,4,Mid-Sized Sedan
Honda,145800,14370,682,27-Sep-2023,3321,67,2023,Auto,104446,18038,5000,101000,1496,87.0,1250,1,SUV
Mazda,48800,13240,682,20-Jan-2017,1194,80000,2016,Auto,23706,15764,10764,50951,1496,88.0,1310,3,Mid-Sized Sedan
Honda,61800,13980,578,02-Jan-2018,1522,60000,2017,Auto,21897,15356,5356,42902,1318,73.0,1052,2,Hatchback
Mazda,72800,14140,682,05-Apr-2018,1615,56013,2017,Auto,30136,18690,18690,38000,1496,88.0,1331,2,Mid-Sized Sedan
Volkswagen,71888,16660,976,28-Feb-2017,1222,120000,2016,Auto,37238,31369,30917,50621,1798,132.0,1480,2,Luxury Sedan
Mercedes-Benz,115800,12110,814,10-Jun-2013,3465,128888,2013,Auto,82877,31746,31445,86677,1595,115.0,1485,2,Luxury Sedan
MINI,54800,23180,1210,31-Jul-2015,635,80000,2015,Auto,24740,27790,25906,58109,1998,141.0,1240,3,Sports Car
Mercedes-Benz,49800,22460,1202,26-Sep-2014,35,101000,2014,Auto,35225,49580,56412,72990,1991,155.0,1680,1,Luxury Sedan
SEAT,146800,15150,684,24-Mar-2023,3438,13223,2021,Auto,114575,21513,7119,115501,1498,110.0,1199,1,Hatchback
Toyota,13700,13330,955,20-Oct-2009,374,115000,2008,Auto,3141,15475,15475,15287,1496,81.0,1130,6,Mid-Sized Sedan
Volkswagen,81880,11730,806,30-Nov-2010,2220,130241,2010,Auto,23125,25306,25306,33140,1390,118.0,1285,5,Sports Car
Lexus,56880,19800,1792,14-Aug-2015,368,112000,2015,Auto,33114,34805,40727,58109,2494,135.0,1615,2,Luxury Sedan
BMW,80880,15000,2694,31-Jul-2009,1953,131000,2009,Auto,17218,54339,54339,31933,2497,150.0,1430,5,Sports Car
Peugeot,54800,14860,508,06-Mar-2017,1218,128000,2016,Auto,22314,18453,8453,49430,1199,81.0,1140,1,SUV
Citroen,130988,15240,508,24-Jun-2021,2798,59825,2021,Auto,57737,25096,27135,48510,1199,96.0,1397,2,MPV
Toyota,85888,19840,1196,29-Mar-2017,1253,115012,2016,Auto,40732,33747,34246,53300,1986,111.0,1610,2,SUV
BMW,98888,23880,1210,06-Jan-2017,1161,109941,2016,Auto,44506,36419,42987,51109,1997,135.0,1680,2,SUV
Audi,113888,19380,976,21-May-2018,1670,127000,2017,Auto,52011,40661,48926,38501,1798,140.0,1645,1,Luxury Sedan
Nissan,61800,14860,1210,21-Jan-2017,1185,87000,2016,Auto,34375,24335,26069,53106,1997,100.0,1470,3,Luxury Sedan
Mercedes-Benz,192800,22800,684,17-Dec-2020,2621,68000,2020,Auto,75676,46968,57756,45012,1497,115.0,1635,3,Luxury Sedan
BMW,139888,15900,684,15-Jun-2021,2799,48000,2021,Auto,63876,31057,35480,48510,1499,80.0,1340,1,Hatchback
Mitsubishi,52588,16070,1210,28-Jun-2016,977,75110,2016,Auto,25967,17938,17938,56000,1998,110.0,1355,1,SUV
Subaru,92888,15830,1208,20-Mar-2019,1984,71000,2018,Auto,30199,13438,13438,36961,1995,110.0,1591,1,SUV
BMW,137800,18230,2834,31-May-2012,2735,130000,2012,Auto,35766,70601,70601,47316,2979,225.0,2070,5,SUV
Toyota,11800,14750,1023,29-Jul-2009,278,159000,2009,Auto,2441,18100,18100,15256,1495,80.0,1160,6,SUV
Volkswagen,63000,14930,124,28-Feb-2017,1222,37100,2016,Auto,28311,27072,24901,35807,1395,110.0,1288,1,MPV
Mazda,107888,16970,1210,25-Mar-2019,1979,99800,2019,Auto,43081,27563,30589,37620,1998,121.0,1576,1,SUV
MINI,112888,20760,684,15-Mar-2018,1614,48000,2018,Auto,50073,35606,41849,48011,1499,100.0,1390,2,Hatchback
Mercedes-Benz,45000,28990,1202,24-Sep-2014,33,133000,2014,Auto,24259,37540,34556,73010,1991,135.0,1465,3,Luxury Sedan
Porsche,139900,24080,4295,29-Sep-2009,2096,118000,2009,Auto,24920,92245,92245,42885,3436,228.0,1455,5,Sports Car
Mitsubishi,7777,13980,1026,24-Jun-2009,180,143000,2009,Auto,1456,16812,16812,13088,1499,80.0,1313,5,Mid-Sized Sedan
Toyota,60800,11540,1815,15-Jan-2009,1919,155000,2008,Auto,16509,25403,25403,31335,1998,108.0,1530,4,Luxury Sedan
Lexus,98800,21200,1210,10-May-2017,1284,85000,2017,Auto,49246,38430,45802,54556,1998,180.0,1620,5,Luxury Sedan
Nissan,68800,14790,508,05-Dec-2017,1494,77000,2017,Auto,27670,19750,14750,41761,1197,85.0,1325,1,SUV
Volvo,168888,22860,1176,26-Feb-2020,2315,89000,2019,Auto,58353,38521,45930,37500,1969,187.0,1757,1,SUV
Mercedes-Benz,263800,31950,2382,13-Jul-2020,2462,31998,2019,Auto,96032,68722,95700,35889,2996,287.0,1875,2,SUV
Mercedes-Benz,90800,23940,1202,04-Jul-2016,973,55000,2016,Auto,44170,42010,50814,50089,1991,155.0,1480,2,Luxury Sedan
Audi,121800,17600,392,23-Dec-2019,2252,82000,2019,Auto,39262,23669,25137,32889,999,85.0,1315,1,SUV
