Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
73828,738,1706,65451,11602,10.503038084358488,1295,1
76800,390,1523,76000,28219,10.550590794594667,1355,4
107800,682,2679,30000,22758,10.645329654634832,1130,2
155800,1210,1856,119000,53554,10.382884426798459,1530,1
132800,586,1828,59000,34176,10.491301994830229,1375,1
213800,1792,2102,29000,48189,10.757902880692196,2045,1
275888,2258,2284,18500,61352,10.545341438708522,1695,3
41800,1628,491,65399,29172,11.229089320779604,1574,1
160800,1198,2712,62400,35342,10.799595985047786,1485,1
103800,1210,1919,78000,22494,10.34177474101152,1480,1
137800,684,1864,45657,36709,10.344995251991222,1520,1
64800,1210,1102,102600,23227,10.940401726734022,1626,2
54800,976,763,147000,29472,10.959557617938563,1545,1
90800,578,2589,55000,16794,10.527659718592542,1052,1
87800,3335,2198,120300,85250,10.532149543869664,1850,3
184800,1194,1463,50424,65380,10.815810422848898,1845,1
184800,684,2197,47600,46412,10.463131911491967,1635,1
148800,1210,2315,36600,39083,10.532096211958502,1620,3
67800,740,821,82000,33857,11.002116507732017,1460,1
55800,506,1463,65000,13572,10.666673723876048,940,1
266800,586,3436,5000,37049,11.470602344323707,1610,1
77888,806,2227,208000,24909,10.408496290980555,1285,6
201800,586,2765,48000,40341,10.774906433614746,1555,1
44800,1210,7,40000,46786,11.217251542588896,1615,2
127800,1786,1492,61300,32742,10.416909802149386,1898,1
89000,682,2283,75000,19194,10.472204654717896,1130,1
37800,1467,948,166860,20861,10.737439609687094,1219,1
21800,620,365,95000,19153,11.080602902692181,1417,1
58800,6612,1528,115000,62900,10.856110213657674,1775,2
73800,508,2073,80000,13467,10.260777307439861,1048,1
99000,1210,1829,48969,24412,10.351405324899678,1626,1
116800,1169,3046,92000,54119,11.297042988134223,1470,5
96800,392,1833,25804,22065,10.36668683462848,1190,1
89800,2514,2198,143000,59155,10.532149543869664,1430,4
152800,624,2220,42882,27819,10.633689641047084,1545,1
17500,624,216,119000,20925,11.002133173982028,1249,2
160000,684,2621,42205,38813,10.805679360030782,1430,1
60800,624,1343,103729,20318,10.664316745782925,1249,2
117800,684,1978,67345,30824,10.19088208365186,1490,1
43800,1786,764,120000,26629,11.000248127840763,1510,2
97888,2335,2675,136000,40299,10.727355930819083,1650,5
101800,1792,761,40880,45427,10.959557617938563,2075,1
73800,1210,822,118800,41373,10.821556702087694,1615,1
53800,740,851,102350,25384,10.988676820872097,1425,3
73800,740,1098,96888,27886,10.849453584720033,1430,1
45800,684,401,86800,26883,11.036517370851499,1360,2
40800,508,943,119800,18953,10.764265574480024,1150,3
78800,1636,1461,91200,19837,10.781224548778034,1535,2
91800,742,2102,88800,20881,10.191182124909785,1230,1
58800,744,1099,98988,13492,10.666627104916108,1449,3
179800,1210,2707,33100,41367,10.753424783860263,1490,1
76800,682,1678,68800,19427,10.503038084358488,1130,2
38999,738,730,133000,18185,10.933124826700707,1295,2
41800,1208,732,101800,14948,11.002116507732017,1566,2
43800,684,886,128200,16698,10.714417768752456,1046,3
185588,1792,1885,52503,36300,10.34177474101152,1940,2
86800,1792,1103,137000,40888,10.939160041430364,1615,1
69800,1210,1467,96000,17222,10.799820445069336,1532,2
75888,1630,1000,121260,30564,10.950981970025628,1855,2
172800,1792,1497,68000,36561,10.351596993696585,1940,2
72800,682,1679,90160,15677,10.51867319162636,1100,1
103800,684,1649,101000,34502,10.545341438708522,1425,2
175900,1210,2591,16000,39114,10.613737640995735,1400,2
42800,738,822,115000,12771,10.84546552414626,1292,2
118800,2380,768,80000,62151,10.87806606028079,1856,1
119800,684,1892,65000,37835,10.336924443719042,1415,2
75800,740,766,40662,24971,10.959679347542483,1395,2
22900,740,0,125000,25004,11.04914244753755,1425,2
118900,3094,2592,102000,82011,10.596984671860362,1880,4
166800,1210,2197,52000,42149,10.566227070674648,1485,1
56800,682,1369,97000,12715,10.841657186128725,1065,2
53800,742,1097,83000,17982,10.764265574480024,1205,2
138800,1210,1155,90000,71708,10.827528176270343,1680,1
76000,965,2468,124000,18768,10.400467769480066,1100,6
121999,742,2828,54500,19481,10.758115624018176,1315,1
51800,624,1006,90000,22568,10.87804719253426,1310,3
86800,508,1583,77740,33031,10.513524826373066,1295,1
124800,508,2561,22839,25237,10.812552239318544,1320,1
88800,392,1679,76000,24176,10.569802959130607,1275,3
71800,508,1983,57771,13467,10.280518891981744,1048,1
77800,1176,1365,88000,26083,10.87806606028079,1470,2
37800,742,246,97208,36459,11.189533309884368,1658,2
102800,1552,2227,137000,54487,10.461244470986552,1315,5
517800,10725,2710,38000,471766,10.77270764101727,2485,5
198800,586,2988,9000,37856,11.324195417595107,1420,1
135500,684,1861,22809,36901,10.543022963647424,1430,2
20000,792,553,196950,8327,9.707351006708445,955,5
